suite,seed,profile,startStage,endStage,arena,outcome,seconds,startHp,endHp,damage,healed,peakEnemies,peakShots,peakParticles,remainingHp,modCount,mods,death,error
bosses,path-run-65,utility,3,3,loader,clear,21.2,100,100,0,0,1,12,59,0,3,light;fold;countershot,,
bosses,path-run-65,utility,7,7,press,dead,17.9,100,0,100,0,1,15,104,484,7,light;fold;countershot;ricochet;pierce;split;leech,"{""type"":""slam"",""enemy"":""press""}",
bosses,path-run-65,utility,11,11,turbine,clear,65.77,100,100,0,0,1,17,67,0,11,light;fold;countershot;ricochet;pierce;split;leech;landing;vector;tether;capacitor,,
bosses,path-run-65,utility,15,15,boss,clear,63.75,100,100,0,0,1,26,94,0,15,light;fold;countershot;ricochet;pierce;split;leech;landing;vector;tether;capacitor;reserve-cell;tripwire;rewire;burst,,
bosses,path-run-65,utility,19,19,interceptor,timeout,89.85,100,48,52,0,1,19,97,2806.9,19,light;fold;countershot;ricochet;pierce;split;leech;landing;vector;tether;capacitor;reserve-cell;tripwire;rewire;burst;recall;airshot;shellshock;cluster-shell,,
bosses,path-run-66,utility,3,3,loader,clear,21.2,100,100,0,0,1,12,59,0,3,light;fold;countershot,,
bosses,path-run-66,utility,7,7,press,dead,23.13,100,0,100,0,1,16,85,102,7,light;fold;countershot;ricochet;pierce;split;leech,"{""type"":""slam"",""enemy"":""press""}",
bosses,path-run-66,utility,11,11,condenser,clear,56.75,100,39,63,2,1,27,70,0,11,light;fold;countershot;ricochet;pierce;split;leech;landing;vector;tether;capacitor,,
bosses,path-run-66,utility,15,15,sorter,clear,28.43,100,100,0,0,1,15,61,0,15,light;fold;countershot;ricochet;pierce;split;leech;landing;vector;tether;capacitor;reserve-cell;magnum;rewire;airshot,,
bosses,path-run-66,utility,19,19,interceptor,clear,60.48,100,4,98,2,1,17,75,0,19,light;fold;countershot;ricochet;pierce;split;leech;landing;vector;tether;capacitor;reserve-cell;magnum;rewire;airshot;suspension;mass-driver;rapid;arc-coil,,
bosses,path-run-67,utility,3,3,crane,dead,14.18,100,0,100,0,1,4,76,718.4,3,light;fold;countershot,"{""type"":""slam"",""enemy"":""crane""}",
bosses,path-run-67,utility,7,7,kiln,clear,22.7,100,84,18,2,1,14,68,0,7,light;fold;countershot;ricochet;pierce;split;leech,,
bosses,path-run-67,utility,11,11,condenser,clear,52.93,100,39,63,2,1,30,79,0,11,light;fold;countershot;ricochet;pierce;split;leech;landing;vector;tether;capacitor,,
bosses,path-run-67,utility,15,15,sorter,clear,36.08,100,100,0,0,1,79,193,0,15,light;fold;countershot;ricochet;pierce;split;leech;landing;vector;tether;capacitor;reserve-cell;scatter;rewire;rapid,,
bosses,path-run-67,utility,19,19,interceptor,timeout,89.95,100,100,0,0,1,60,217,582,19,light;fold;countershot;ricochet;pierce;split;leech;landing;vector;tether;capacitor;reserve-cell;scatter;rewire;rapid;kick;air-brake;shellshock;mass-driver,,
bosses,path-run-65,balanced,3,3,loader,clear,16.02,100,100,0,0,1,11,59,0,3,magnum;light;kick,,
bosses,path-run-65,balanced,7,7,press,clear,15.9,100,42,60,2,1,8,80,0,7,magnum;light;kick;rapid;airshot;leech;pierce,,
bosses,path-run-65,balanced,11,11,turbine,clear,56.73,100,95,7,2,1,30,142,0,11,magnum;light;kick;rapid;airshot;leech;pierce;ricochet;scatter;countershot;shellshock,,
bosses,path-run-65,balanced,15,15,boss,clear,73.55,100,100,0,0,1,33,135,0,15,magnum;light;kick;rapid;airshot;leech;pierce;ricochet;scatter;countershot;shellshock;capacitor;tripwire;redline;blast-surf,,
bosses,path-run-65,balanced,19,19,interceptor,timeout,89.8,100,42,58,0,1,21,114,577.9,19,magnum;light;kick;rapid;airshot;leech;pierce;ricochet;scatter;countershot;shellshock;capacitor;tripwire;redline;blast-surf;fuse;banker;recall;cluster-shell,,
bosses,path-run-66,balanced,3,3,loader,clear,14,100,100,0,0,1,11,75,0,3,magnum;light;kick,,
bosses,path-run-66,balanced,7,7,press,clear,13.7,100,42,60,2,1,8,106,0,7,magnum;light;kick;rapid;airshot;leech;pierce,,
bosses,path-run-66,balanced,11,11,condenser,dead,60.12,100,0,100,0,1,33,88,2041.5,11,magnum;light;kick;rapid;airshot;leech;pierce;ricochet;scatter;countershot;vector,"{""type"":""shot"",""enemy"":""condenser""}",
bosses,path-run-66,balanced,15,15,sorter,clear,17.7,100,100,0,0,1,48,151,0,15,magnum;light;kick;rapid;airshot;leech;pierce;ricochet;scatter;countershot;vector;backblast;split;shatter;landing,,
bosses,path-run-66,balanced,19,19,interceptor,clear,34.42,100,100,0,0,1,55,148,0,19,magnum;light;kick;rapid;airshot;leech;pierce;ricochet;scatter;countershot;vector;backblast;split;shatter;landing;suspension;mass-driver;banker;grindshot,,
bosses,path-run-67,balanced,3,3,crane,dead,23.18,100,0,100,0,1,4,59,126.2,3,magnum;light;kick,"{""type"":""slam"",""enemy"":""crane""}",
bosses,path-run-67,balanced,7,7,kiln,clear,18.2,100,100,0,0,1,10,68,0,7,magnum;light;kick;rapid;airshot;leech;pierce,,
bosses,path-run-67,balanced,11,11,condenser,clear,87.05,100,39,63,2,1,38,121,0,11,magnum;light;kick;rapid;airshot;leech;pierce;ricochet;scatter;countershot;shellshock,,
