suite,seed,policy,entrance,visit,stage,layout,event,escape,clear,seconds,startHp,endHp,damage,healed,peakEnemies,mods
campaign,path-run-65,utility,0,0,0,overpass,,,true,15.5,100,98,14,12,2,
campaign,path-run-65,utility,0,1,1,terraces,,,true,20.53,98,100,0,2,3,mass-driver
campaign,path-run-65,utility,0,2,2,docks-low-road,,,true,15.83,100,100,0,0,5,mass-driver;vector
campaign,path-run-65,utility,0,3,3,loader-bay,,,true,17.47,100,100,0,0,1,mass-driver;vector;rapid
campaign,path-run-65,utility,0,4,4,pillars,,,true,26.05,100,100,0,0,5,mass-driver;vector;rapid;ramjet
campaign,path-run-65,utility,0,5,5,fortress,,,true,15.02,100,100,0,0,6,mass-driver;vector;rapid;ramjet;shellshock
campaign,path-run-65,utility,0,6,6,furnace-low-road,,,true,18.95,100,97,15,12,7,mass-driver;vector;rapid;ramjet;shellshock;ricochet
campaign,path-run-65,utility,0,7,7,press-hall,,,true,68.77,97,31,78,12,1,mass-driver;vector;rapid;ramjet;shellshock;ricochet;pierce
campaign,path-run-65,utility,0,8,8,return-channel,,,true,20.92,31,59,0,28,7,mass-driver;vector;rapid;ramjet;shellshock;ricochet;pierce;leech
campaign,path-run-65,utility,0,9,9,pump-room,,,true,27.22,59,87,0,28,9,mass-driver;vector;rapid;ramjet;shellshock;ricochet;pierce;leech;wrecking-ball
campaign,path-run-65,utility,0,10,10,cooling-low-road,,,true,31.52,87,73,48,34,9,mass-driver;vector;rapid;ramjet;shellshock;ricochet;pierce;leech;wrecking-ball;landing
campaign,path-run-65,utility,0,11,11,turbine-gallery,,,true,119.97,73,78,9,14,1,mass-driver;vector;rapid;ramjet;shellshock;ricochet;pierce;leech;wrecking-ball;landing;light
campaign,path-run-65,utility,0,12,12,sorting-floor,lockdown,,false,35.57,78,0,94,16,10,mass-driver;vector;rapid;ramjet;shellshock;ricochet;pierce;leech;wrecking-ball;landing;light;countershot
campaign,path-run-65,ordinary,0,0,0,overpass,,,true,15.5,100,98,14,12,2,
campaign,path-run-65,ordinary,0,1,1,terraces,,,true,20.53,98,100,0,2,3,mass-driver
campaign,path-run-65,ordinary,0,2,2,docks-low-road,,,true,14.13,100,100,0,0,5,mass-driver;drop-forge
campaign,path-run-65,ordinary,0,3,3,loader-bay,,,true,17.28,100,100,0,0,1,mass-driver;drop-forge;rapid
campaign,path-run-65,ordinary,0,4,4,pillars,,,true,33.42,100,96,16,12,5,mass-driver;drop-forge;rapid;ramjet
campaign,path-run-65,ordinary,0,5,5,fortress,,,true,29.2,96,100,0,4,6,mass-driver;drop-forge;rapid;ramjet;shellshock
campaign,path-run-65,ordinary,0,6,6,furnace-low-road,,,true,22.28,100,64,48,12,7,mass-driver;drop-forge;rapid;ramjet;shellshock;tether
campaign,path-run-65,ordinary,0,7,7,press-hall,,,true,64.22,64,64,12,12,1,mass-driver;drop-forge;rapid;ramjet;shellshock;tether;ricochet
campaign,path-run-65,ordinary,0,8,8,return-channel,,,true,19.77,64,76,0,12,7,mass-driver;drop-forge;rapid;ramjet;shellshock;tether;ricochet;cinder
campaign,path-run-65,ordinary,0,9,9,pump-room,,,false,38.9,76,0,76,0,9,mass-driver;drop-forge;rapid;ramjet;shellshock;tether;ricochet;cinder;arc-coil
campaign,path-run-65,precision,0,0,0,overpass,,,true,15.5,100,98,14,12,2,
campaign,path-run-65,precision,0,1,1,terraces,,,true,20.08,98,100,0,2,3,rapid
campaign,path-run-65,precision,0,2,2,docks-low-road,,,true,10.37,100,100,0,0,5,rapid;mass-driver
