"game_version","upgrade_a","name_a","upgrade_b","name_b","eligibility","blockers_including_prerequisites","a_first_dependency_order","b_first_dependency_order","base_stats_in_both_orders","scope"
"3.0.0-development","magnum","Heavy hitter","scatter","Scattershot","allowed with prerequisites","","magnum > scatter","scatter > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"3.0.0-development","magnum","Heavy hitter","rapid","Hair trigger","allowed with prerequisites","","magnum > rapid","rapid > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"3.0.0-development","magnum","Heavy hitter","ricochet","Bank shot","allowed with prerequisites","","magnum > ricochet","ricochet > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"3.0.0-development","magnum","Heavy hitter","pierce","Punch through","allowed with prerequisites","","magnum > pierce","pierce > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"3.0.0-development","magnum","Heavy hitter","split","Splinter","allowed with prerequisites","","magnum > split","split > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"3.0.0-development","magnum","Heavy hitter","airshot","Airshot","allowed with prerequisites","","magnum > airshot","airshot > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"3.0.0-development","magnum","Heavy hitter","kick","Kickback","allowed with prerequisites","","magnum > kick","kick > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"3.0.0-development","magnum","Heavy hitter","leech","Bloodwork","allowed with prerequisites","","magnum > leech","leech > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"3.0.0-development","magnum","Heavy hitter","light","Light frame","allowed with prerequisites","","magnum > light","light > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"3.0.0-development","magnum","Heavy hitter","burst","Burst fire","allowed with prerequisites","","magnum > burst","burst > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"3.0.0-development","magnum","Heavy hitter","backblast","Backblast","allowed with prerequisites","","magnum > backblast","backblast > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"3.0.0-development","magnum","Heavy hitter","banker","Banker","allowed with prerequisites","","magnum > banker","banker > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"3.0.0-development","magnum","Heavy hitter","landing","Landing shot","allowed with prerequisites","","magnum > landing","landing > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"3.0.0-development","magnum","Heavy hitter","crossfire","Crossfire","allowed with prerequisites","","magnum > crossfire","crossfire > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"3.0.0-development","magnum","Heavy hitter","bloom","Death bloom","allowed with prerequisites","","magnum > crossfire > bloom","crossfire > bloom > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"3.0.0-development","magnum","Heavy hitter","deadeye","Deadeye","allowed with prerequisites","","magnum > deadeye","deadeye > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"3.0.0-development","magnum","Heavy hitter","execute","Executioner","allowed with prerequisites","","magnum > deadeye > execute","deadeye > execute > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"3.0.0-development","magnum","Heavy hitter","fold","Fold","allowed with prerequisites","","magnum > fold","fold > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"3.0.0-development","magnum","Heavy hitter","shellshock","Shellshock","allowed with prerequisites","","magnum > shellshock","shellshock > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"3.0.0-development","magnum","Heavy hitter","blast-surf","Blast surfing","allowed with prerequisites","","magnum > shellshock > blast-surf","shellshock > blast-surf > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"3.0.0-development","magnum","Heavy hitter","aftershock","Aftershock","allowed with prerequisites","","magnum > shellshock > aftershock","shellshock > aftershock > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"3.0.0-development","magnum","Heavy hitter","chain-reaction","Chain reaction","allowed with prerequisites","","magnum > shellshock > chain-reaction","shellshock > chain-reaction > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
"3.0.0-development","magnum","Heavy hitter","rewire","Rewire","allowed with prerequisites","","magnum > fold > rewire","fold > rewire > magnum","equal within numerical tolerance","eligibility and base stats only; combat interactions require separate checks"
